38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman Buah-buahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpukat (Ton),,Belimbing (Ton),,Duku/Langsat/Kokosan (Ton),,Durian (Ton),,Jambu Biji (Ton),,Jambu Air (Ton),,Jeruk Siam/Keprok (Ton),,Jeruk Besar (Ton),,Mangga (Ton),,Manggis (Ton),,Nangka/Cempedak (Ton),,Nenas (Ton),,Pepaya (Ton),,Pisang (Ton),,Rambutan (Ton),,Salak (Ton),,Sawo (Ton),,Markisa/Konyal (Ton),,Sirsak (Ton),,Sukun (Ton),,Melon (Ton),,Semangka (Ton),,Blewah (Ton),,Apel (Ton),,Anggur (Ton),,Stroberi (Ton),
,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022
SULAWESI TENGGARA,1093,1007,330,549,1624,2134,12886,23745,1398,1883,1423,1442,22220,19927,408,632,12405,10474,789,2055,6238,9585,9073,14933,10503,15258,41610,49496,8300,13785,1050,1411,302,181,-,-,968,1014,1867,2237,324,205,1190,1253,-,-,-,-,17,80,13,11
GORONTALO,24,73,12,13,54,93,4381,4593,19,16,-,9,23305,23452,119,103,1900,3746,-,-,942,888,92,142,1209,579,6938,4689,1828,1300,9,19,-,1,-,-,4,9,8,8,89,-,136,174,-,-,-,-,-,-,-,-
SULAWESI BARAT,312,333,100,109,4223,7324,14653,23926,415,264,325,310,18933,21500,99,289,10548,23656,1685,242,3000,4748,430,3738,5210,7159,77487,144785,4382,6832,84,85,67,47,-,-,143,256,793,2003,2,65,164,156,-,-,-,-,-,-,-,-
MALUKU,2143,1255,556,481,1675,1554,8091,6020,1188,1556,1123,992,12029,7031,343,412,7542,4723,923,698,5092,3367,458,368,11076,11064,55382,46399,1091,1174,3691,1170,18,11,-,-,832,546,2690,3934,308,207,797,1032,-,-,-,-,-,-,-,-
MALUKU UTARA,1061,735,247,196,1882,5645,4686,7982,627,265,650,712,2258,363,66,75,6457,4373,1284,1104,2535,1692,700,614,2995,1818,22810,8080,5353,13171,3743,1450,4,13,-,-,357,283,987,416,175,56,452,1296,-,-,-,-,1,-,-,-
PAPUA BARAT,575,9400,273,1410,1565,11563,1425,6880,979,26101,383,1276,460,11325,135,1382,1276,12574,13,7,811,7571,302,1021,1901,38957,113979,162789,2319,8666,966,5284,132,1076,-,-,303,1677,475,1762,118,434,389,1382,-,-,-,-,-,-,-,1
PAPUA,908,192,295,70,253,158,491,485,697,518,511,73,32035,15190,77,25,7444,735,11,21,1618,436,149,79,5355,2262,15167,5233,537,552,129,145,68,26,-,-,231,134,447,155,1850,2736,4664,4306,-,-,-,-,1,-,-,-
INDONESIA,669260,865780,137450,128632,250355,205260,1353037,1582172,422491,472686,206423,237565,2401064,2551999,112797,132979,2835442,3308895,303934,343663,906514,813756,2886417,3203775,1168266,1089578,8741147,9245427,884702,855162,1120242,1147473,169711,167440,-,-,158926,142390,172373,165032,129147,118696,414242,367816,-,-,509544,523596,12164,13516,9860,28895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata Indikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indikator,Konsep,Definisi,Interpretasi,Metode Perhitungan,Rumus,Ukuran,Dihasilkan dari kegiatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produksi Tanaman Sayuran dan Buah-buahan Semusim (SBS),Produksi dari Tanaman Sayuran dan Buah-buahan Semusim (SBS),Jumlah produksi tanaman sayuran dan buah-buahan semusim,"Misalkan produksi bawang merah adalah 20 kuintal, berarti berat total tanaman bawang merah yang dihasilkan sebanyak 20 kuintal.",Produksi Tanaman SBS adalah total produksi (Produksi dipanen Habis/Dibongkar + Produksi Belum Habis) tanaman SBS,\begin{array} TotalProduksi=Produksipanenhabis+Produksipanenbelumhabis \end{array},Produksi,Statistik Pertanian Hortikultura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
