Provinsi,Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Buah-Buahan Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BUAH-BUAHAN,,,"Jeruk, jeruk bali",,,Mangga,,,Apel,,,Rambutan,,,"Duku, langsat",,,Durian,,,Salak,,,Pisang ambon,,,Pisang lainnya,,,Pepaya,,,Semangka,,,Tomat buah,,,Alpokat,,,Jambu biji,,,Buah-buahan lainnya,,
,,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023
Sumatera Utara,Nias,-,-,-,0.016,0.011,0.014,-,0.001,-,0.003,0.006,0.004,-,-,-,-,0.003,0.002,-,0.007,-,0.003,0.006,0.007,0.03,0.062,0.057,0.439,0.42,0.469,0.023,0.05,0.03,0.009,0.01,0.012,-,0.004,0.005,-,0.008,0.002,-,0.003,0.001,0.002,0.011,0.004
Sumatera Utara,Mandailing Natal,-,-,-,0.084,0.082,0.076,0.008,0.018,0.009,0.011,0.009,0.008,0.006,0.003,0.004,0.002,0.005,0.03,0.007,0.008,0.002,0.069,0.113,0.1,0.012,0.015,0.023,0.069,0.049,0.068,0.063,0.066,0.065,0.034,0.04,0.035,-,0.002,0.001,-,0.009,0.01,-,0.001,0.003,0.021,0.016,0.012
Sumatera Utara,Tapanuli Selatan,-,-,-,0.104,0.115,0.102,0.006,0.004,-,0.013,0.009,0.009,0.002,0.002,0.003,-,0.001,0.02,0.025,0.005,0.002,0.083,0.153,0.129,0.017,0.007,0.013,0.073,0.102,0.064,0.076,0.091,0.077,0.038,0.049,0.036,0.003,0.031,0.029,-,0.016,0.005,-,0.002,0.004,0.014,0.014,0.015
Sumatera Utara,Tapanuli Tengah,-,-,-,0.084,0.09,0.076,-,0.005,0.003,0.009,0.012,0.006,-,-,-,-,0.001,0.016,-,-,-,0.059,0.088,0.069,0.028,0.024,0.018,0.121,0.097,0.09,0.052,0.038,0.03,0.017,0.022,0.015,0.116,0.097,0.089,-,0.008,0.006,-,0.002,0.001,0.031,0.023,0.024
Sumatera Utara,Tapanuli Utara,-,-,-,0.15,0.137,0.172,0.003,0.006,0.004,0.024,0.017,0.019,0.002,0.004,0.004,0.001,0.004,0.013,0.025,0.007,0.032,0.058,0.079,0.08,0.017,0.015,0.031,0.135,0.142,0.129,0.036,0.038,0.045,0.005,0.01,0.009,0.177,0.138,0.162,-,0.01,0.02,-,0.018,0.016,0.06,0.036,0.029
Sumatera Utara,Toba Samosir,-,-,-,0.21,0.208,0.199,0.007,0.009,0.004,0.022,0.024,0.02,0.002,-,0.002,0.004,0.01,0.015,0.045,0.041,0.075,0.068,0.073,0.086,0.026,0.018,0.013,0.147,0.178,0.172,0.053,0.044,0.054,0.016,0.016,0.014,0.195,0.165,0.189,-,0.03,0.03,-,0.005,0.012,0.058,0.046,0.028
Sumatera Utara,Labuhan Batu,-,-,-,0.121,0.122,0.136,0.005,0.013,0.015,0.007,0.014,0.007,-,0.001,0.002,0.001,0.016,0.029,0.002,-,0.002,0.057,0.068,0.071,0.004,0.006,0.005,0.05,0.073,0.056,0.017,0.036,0.021,0.056,0.121,0.085,0.062,0.033,0.027,-,0.005,0.01,-,0.003,0.002,0.017,0.012,0.02
Sumatera Utara,Asahan,-,-,-,0.2,0.224,0.19,0.007,0.011,0.003,0.01,0.009,0.012,-,-,-,0.001,0.002,0.02,0.008,0.001,0.005,0.039,0.058,0.048,0.007,0.003,0.001,0.078,0.121,0.084,0.036,0.038,0.045,0.065,0.137,0.084,0.094,0.084,0.048,-,0.006,0.012,-,0.004,0.002,0.043,0.037,0.027
Sumatera Utara,Simalungun,-,-,-,0.171,0.171,0.17,0.005,0.012,0.003,0.014,0.014,0.012,-,0.002,0.008,0.001,0.005,0.007,0.012,0.012,0.038,0.023,0.035,0.038,0.005,0.006,0.01,0.097,0.113,0.124,0.067,0.062,0.056,0.067,0.08,0.044,0.089,0.054,0.095,-,0.036,0.021,-,0.008,0.007,0.055,0.035,0.037
Sumatera Utara,Dairi,-,-,-,0.109,0.123,0.11,0.002,0.003,0.004,0.011,0.012,0.012,-,0.001,0.01,-,0.007,0.076,-,0.005,0.046,0.037,0.053,0.037,0.038,0.039,0.04,0.159,0.166,0.153,0.046,0.082,0.064,0.011,0.02,0.013,0.035,0.009,0.028,-,0.027,0.029,-,0.012,0.013,0.045,0.032,0.027
