Province,Year,Avocado,Star Fruit,Duku,Durian,Guava,Rose Apple,Orange/Tangerine,Pomelo,Mango,Mangosteen,Jackfruit,Pineapple,Papaya,Banana,Rambutan,Salacca,Sapodilla/Star Apple,Soursop,Breadfruit,Melon,Watermelon,Apple,Grape,Strawberry
Jawa Barat,2022,121326.0,9454.0,6965.0,80334.0,79961.0,33838.0,54122.0,5443.0,451174.0,36173.0,73714.0,161359.0,126227.0,1317558.0,138397.0,28455.0,21567.0,16714.0,23113.0,1282.0,8232.0,,105.0,25413.0
Jawa Tengah,2022,130029.0,20987.0,15122.0,181713.0,91293.0,66007.0,34947.0,23959.0,505800.0,6809.0,153633.0,336102.0,121173.0,999739.0,134509.0,482423.0,22675.0,18493.0,35188.0,26231.0,59837.0,41.0,260.0,1303.0
DI Yogyakarta,2022,11502.0,946.0,3760.0,8849.0,6702.0,3004.0,2450.0,53.0,27066.0,2827.0,15010.0,665.0,16084.0,78045.0,15999.0,54498.0,2302.0,1184.0,6809.0,7001.0,8298.0,,30.0,44.0
Jawa Timur,2022,183258.0,64856.0,20028.0,419913.0,117919.0,26716.0,1076813.0,57257.0,1593494.0,81362.0,176077.0,357505.0,250325.0,2626582.0,155450.0,199625.0,19721.0,33307.0,29370.0,62287.0,97357.0,523326.0,376.0,1085.0
Banten,2022,2403.0,1340.0,4596.0,28161.0,5765.0,7508.0,724.0,67.0,43346.0,4761.0,6629.0,344.0,15325.0,293383.0,38545.0,1985.0,2872.0,3223.0,8145.0,290.0,513.0,,9.0,17.0
Bali,2022,3325.0,400.0,1803.0,21908.0,3216.0,753.0,134681.0,391.0,49139.0,9876.0,22393.0,446.0,11326.0,215647.0,19107.0,26377.0,3084.0,252.0,191.0,218.0,24562.0,5.0,11938.0,196.0
Nusa Tenggara Barat,2022,5145.0,566.0,309.0,32108.0,15168.0,2941.0,8935.0,634.0,163485.0,16778.0,64486.0,135162.0,17195.0,125590.0,12911.0,66.0,14151.0,26701.0,505.0,1689.0,7601.0,,384.0,245.0
Nusa Tenggara Timur,2022,22382.0,718.0,7.0,4430.0,10899.0,2597.0,46474.0,1675.0,81997.0,54.0,26890.0,11541.0,109094.0,230535.0,6172.0,3155.0,1488.0,4177.0,4793.0,356.0,1837.0,64.0,17.0,80.0
Kalimantan Barat,2022,2194.0,1188.0,7422.0,22906.0,6751.0,3218.0,118987.0,312.0,8058.0,7303.0,8610.0,87868.0,16778.0,134097.0,12111.0,1869.0,3890.0,1733.0,2237.0,372.0,5862.0,,29.0,
Kalimantan Tengah,2022,773.0,997.0,398.0,4479.0,3774.0,2355.0,5735.0,166.0,2400.0,280.0,9308.0,10342.0,5560.0,41303.0,9227.0,782.0,1228.0,776.0,935.0,375.0,11345.0,,25.0,
Kalimantan Selatan,2022,33.0,583.0,1473.0,8136.0,1829.0,887.0,115360.0,261.0,4492.0,433.0,13930.0,15620.0,5028.0,74123.0,11459.0,479.0,1340.0,1668.0,1872.0,870.0,3526.0,,,
Kalimantan Timur,2022,638.0,1267.0,3998.0,8773.0,1466.0,1229.0,7755.0,205.0,3010.0,342.0,8364.0,36641.0,13674.0,127562.0,10703.0,6841.0,1352.0,829.0,1028.0,470.0,3665.0,,,
Kalimantan Utara,2022,57.0,168.0,3317.0,5181.0,392.0,539.0,4561.0,12.0,6366.0,101.0,23332.0,1018.0,23203.0,89565.0,5129.0,4273.0,68.0,361.0,613.0,920.0,2496.0,,1.0,
Sulawesi Utara,2022,5911.0,432.0,3130.0,13592.0,3288.0,969.0,742.0,27.0,13071.0,2099.0,3013.0,4855.0,17378.0,81126.0,5609.0,2674.0,,1260.0,370.0,940.0,1176.0,,2.0,
Sulawesi Tengah,2022,5282.0,247.0,5930.0,56326.0,931.0,1592.0,2797.0,156.0,14430.0,2278.0,5537.0,13260.0,7137.0,20845.0,11036.0,785.0,117.0,552.0,398.0,1599.0,4058.0,,65.0,1.0
Sulawesi Selatan,2022,8233.0,367.0,16274.0,59759.0,15877.0,2027.0,11569.0,29372.0,104092.0,3065.0,21888.0,2435.0,29526.0,177727.0,39422.0,11981.0,555.0,1881.0,13693.0,981.0,6247.0,,6.0,14.0
Sulawesi Tenggara,2022,1007.0,549.0,2134.0,23745.0,1883.0,1442.0,19927.0,632.0,10474.0,2055.0,9585.0,14933.0,15258.0,49496.0,13785.0,1411.0,181.0,1014.0,2237.0,205.0,1253.0,,80.0,11.0
Gorontalo,2022,73.0,13.0,93.0,4593.0,16.0,9.0,23452.0,103.0,3746.0,,888.0,142.0,579.0,4689.0,1300.0,19.0,1.0,9.0,8.0,,174.0,,,
Sulawesi Barat,2022,333.0,109.0,7324.0,23926.0,264.0,310.0,21500.0,289.0,23656.0,242.0,4748.0,3738.0,7159.0,144785.0,6832.0,85.0,47.0,256.0,2003.0,65.0,156.0,,,
Maluku,2022,1255.0,481.0,1554.0,6020.0,1556.0,992.0,7031.0,412.0,4723.0,698.0,3367.0,368.0,11064.0,46399.0,1174.0,1170.0,11.0,546.0,3934.0,207.0,1032.0,,,
Maluku Utara,2022,735.0,196.0,5645.0,7982.0,265.0,712.0,363.0,75.0,4373.0,1104.0,1692.0,614.0,1818.0,8080.0,13171.0,1450.0,13.0,283.0,416.0,56.0,1296.0,,,
Papua Barat,2022,9400.0,1410.0,11563.0,6880.0,26101.0,1276.0,11325.0,1382.0,12574.0,7.0,7571.0,1021.0,38957.0,162789.0,8666.0,5284.0,1076.0,1677.0,1762.0,434.0,1382.0,,,1.0
Papua,2022,192.0,70.0,158.0,485.0,518.0,73.0,15190.0,25.0,735.0,21.0,436.0,79.0,2262.0,5233.0,552.0,145.0,26.0,134.0,155.0,2736.0,4306.0,,,
