Province,Regency/City,Year,"Orange, pomelo",Mango,Apple,Rambutan,"Duku, langsat",Durian,Snakefruit,Ambon banana,Papaya,Watermelon,Tomato,Avocado,Guava
Riau,Bengkalis,2021,136.0,16.0,8.0,1.0,,2.0,39.0,11.0,68.0,55.0,8.0,,
Riau,Rokan Hilir,2021,152.0,10.0,16.0,5.0,3.0,2.0,97.0,8.0,19.0,73.0,24.0,,
Riau,Kepulauan Meranti,2021,71.0,25.0,10.0,1.0,1.0,,21.0,2.0,18.0,41.0,,,
Riau,Kota Pekanbaru,2021,131.0,25.0,25.0,,3.0,1.0,31.0,8.0,161.0,55.0,15.0,,
Riau,Kota Dumai,2021,138.0,24.0,15.0,,8.0,1.0,35.0,6.0,71.0,56.0,54.0,,
Jambi,Kerinci,2021,124.0,4.0,20.0,12.0,14.0,11.0,76.0,24.0,82.0,35.0,47.0,,
Jambi,Merangin,2021,87.0,4.0,5.0,8.0,6.0,4.0,39.0,21.0,38.0,64.0,6.0,,
Jambi,Sarolangun,2021,90.0,6.0,14.0,8.0,9.0,,27.0,20.0,31.0,81.0,12.0,,
Jambi,Batang Hari,2021,127.0,5.0,10.0,1.0,,,37.0,18.0,26.0,63.0,19.0,,
Jambi,Muaro Jambi,2021,147.0,17.0,20.0,3.0,11.0,2.0,43.0,43.0,83.0,111.0,19.0,,
Jambi,Tanjung Jabung Timur,2021,192.0,27.0,25.0,5.0,10.0,2.0,37.0,32.0,42.0,70.0,3.0,,
Jambi,Tanjung Jabung Barat,2021,140.0,14.0,17.0,24.0,25.0,1.0,45.0,6.0,50.0,73.0,28.0,,
Jambi,Tebo,2021,121.0,3.0,11.0,2.0,2.0,,56.0,32.0,59.0,73.0,5.0,,
Jambi,Bungo,2021,135.0,2.0,17.0,2.0,2.0,,61.0,31.0,48.0,78.0,23.0,,
Jambi,Kota Jambi,2021,112.0,20.0,18.0,2.0,4.0,2.0,28.0,40.0,127.0,53.0,49.0,,
Jambi,Kota Sungai Penuh,2021,127.0,11.0,17.0,14.0,10.0,11.0,20.0,33.0,98.0,42.0,27.0,,
Sumatera Selatan,Ogan Komering Ulu,2021,85.0,10.0,13.0,8.0,68.0,1.0,27.0,27.0,72.0,46.0,7.0,,
Sumatera Selatan,Ogan Komering Ilir,2021,123.0,8.0,8.0,13.0,25.0,1.0,34.0,61.0,96.0,51.0,3.0,,
Sumatera Selatan,Muara Enim,2021,76.0,10.0,10.0,15.0,55.0,4.0,16.0,19.0,45.0,26.0,18.0,,
Sumatera Selatan,Lahat,2021,71.0,12.0,7.0,10.0,31.0,38.0,23.0,37.0,72.0,30.0,2.0,,
Sumatera Selatan,Musi Rawas,2021,86.0,6.0,5.0,8.0,25.0,2.0,20.0,22.0,61.0,55.0,3.0,,
Sumatera Selatan,Musi Banyuasin,2021,100.0,14.0,15.0,30.0,38.0,2.0,24.0,18.0,57.0,87.0,3.0,,
Sumatera Selatan,Banyu Asin,2021,138.0,21.0,18.0,39.0,30.0,2.0,19.0,44.0,55.0,57.0,2.0,,
Sumatera Selatan,Ogan Komering Ulu Selatan,2021,27.0,4.0,3.0,42.0,269.0,13.0,11.0,24.0,32.0,2.0,8.0,,
Sumatera Selatan,Ogan Komering Ulu Timur,2021,96.0,6.0,19.0,3.0,20.0,1.0,49.0,55.0,99.0,32.0,10.0,,
Sumatera Selatan,Ogan Ilir,2021,96.0,8.0,5.0,25.0,28.0,,19.0,18.0,103.0,53.0,7.0,,
Sumatera Selatan,Empat Lawang,2021,58.0,11.0,3.0,11.0,9.0,18.0,22.0,22.0,55.0,24.0,64.0,,
Sumatera Selatan,Penukal Abab Lematang Ilir,2021,96.0,6.0,6.0,27.0,38.0,,22.0,18.0,34.0,25.0,1.0,,
Sumatera Selatan,Musi Rawas Utara,2021,72.0,11.0,13.0,17.0,8.0,1.0,19.0,32.0,61.0,95.0,5.0,,
Sumatera Selatan,Kota Palembang,2021,123.0,12.0,19.0,13.0,29.0,5.0,14.0,48.0,133.0,52.0,5.0,,
Sumatera Selatan,Kota Prabumulih,2021,65.0,7.0,16.0,9.0,25.0,5.0,8.0,34.0,108.0,36.0,14.0,,
Sumatera Selatan,Kota Pagar Alam,2021,110.0,10.0,8.0,3.0,15.0,5.0,41.0,48.0,73.0,21.0,2.0,,
Sumatera Selatan,Kota Lubuklinggau,2021,90.0,10.0,16.0,7.0,28.0,5.0,26.0,81.0,117.0,65.0,3.0,,
Bengkulu,Bengkulu Selatan,2021,43.0,5.0,6.0,24.0,24.0,4.0,36.0,54.0,70.0,56.0,11.0,,
Bengkulu,Rejang Lebong,2021,102.0,5.0,17.0,19.0,23.0,14.0,36.0,80.0,104.0,33.0,45.0,,
Bengkulu,Bengkulu Utara,2021,103.0,6.0,15.0,8.0,9.0,6.0,41.0,51.0,93.0,49.0,18.0,,
Bengkulu,Kaur,2021,54.0,15.0,7.0,55.0,15.0,3.0,57.0,85.0,53.0,32.0,3.0,,
Bengkulu,Seluma,2021,57.0,2.0,7.0,18.0,6.0,2.0,35.0,31.0,40.0,32.0,21.0,,
Bengkulu,Mukomuko,2021,142.0,13.0,27.0,5.0,10.0,2.0,38.0,26.0,41.0,96.0,10.0,,
Bengkulu,Lebong,2021,55.0,1.0,13.0,31.0,13.0,80.0,28.0,121.0,85.0,26.0,78.0,,
Bengkulu,Kepahiang,2021,84.0,2.0,12.0,31.0,26.0,37.0,29.0,89.0,122.0,27.0,58.0,,
Bengkulu,Bengkulu Tengah,2021,79.0,4.0,7.0,19.0,24.0,86.0,26.0,50.0,54.0,74.0,21.0,,
Bengkulu,Kota Bengkulu,2021,123.0,6.0,20.0,24.0,16.0,7.0,23.0,96.0,117.0,58.0,43.0,,
Lampung,Lampung Barat,2021,89.0,6.0,4.0,18.0,49.0,13.0,29.0,74.0,59.0,10.0,9.0,,
Lampung,Tanggamus,2021,54.0,6.0,7.0,7.0,5.0,3.0,30.0,30.0,79.0,15.0,2.0,,
Lampung,Lampung Selatan,2021,95.0,6.0,15.0,16.0,13.0,2.0,47.0,44.0,75.0,39.0,31.0,,
Lampung,Lampung Timur,2021,85.0,5.0,19.0,9.0,4.0,3.0,46.0,54.0,88.0,24.0,14.0,,
Lampung,Lampung Tengah,2021,70.0,5.0,19.0,11.0,18.0,2.0,36.0,29.0,62.0,17.0,2.0,,
Lampung,Lampung Utara,2021,60.0,3.0,8.0,3.0,36.0,5.0,25.0,37.0,38.0,5.0,4.0,,
Lampung,Way Kanan,2021,69.0,3.0,13.0,37.0,74.0,2.0,43.0,37.0,38.0,13.0,11.0,,
Lampung,Tulangbawang,2021,74.0,5.0,12.0,2.0,13.0,,31.0,29.0,50.0,14.0,7.0,,
Lampung,Pesawaran,2021,71.0,5.0,13.0,12.0,9.0,6.0,42.0,51.0,82.0,18.0,7.0,,
Lampung,Pringsewu,2021,77.0,6.0,11.0,10.0,13.0,1.0,40.0,26.0,107.0,17.0,5.0,,
Lampung,Mesuji,2021,71.0,5.0,18.0,1.0,12.0,,32.0,22.0,43.0,21.0,2.0,,
Lampung,Tulang Bawang Barat,2021,85.0,9.0,4.0,2.0,16.0,,28.0,15.0,37.0,7.0,1.0,,
Lampung,Pesisir Barat,2021,62.0,4.0,10.0,6.0,6.0,1.0,40.0,60.0,92.0,45.0,,,
Lampung,Kota Bandar Lampung,2021,104.0,8.0,25.0,6.0,18.0,4.0,28.0,74.0,85.0,30.0,10.0,,
Lampung,Kota Metro,2021,124.0,7.0,26.0,21.0,20.0,10.0,38.0,61.0,80.0,14.0,18.0,,
Kep. Bangka Belitung,Bangka,2021,131.0,3.0,16.0,7.0,7.0,,8.0,63.0,97.0,92.0,2.0,,
Kep. Bangka Belitung,Belitung,2021,112.0,17.0,18.0,,4.0,,15.0,38.0,84.0,69.0,,,
Kep. Bangka Belitung,Bangka Barat,2021,121.0,3.0,16.0,7.0,11.0,,12.0,56.0,66.0,77.0,1.0,,
Kep. Bangka Belitung,Bangka Tengah,2021,144.0,6.0,13.0,9.0,12.0,1.0,13.0,53.0,74.0,92.0,10.0,,
Kep. Bangka Belitung,Bangka Selatan,2021,122.0,7.0,8.0,6.0,11.0,,8.0,53.0,24.0,56.0,1.0,,
Kep. Bangka Belitung,Belitung Timur,2021,85.0,4.0,26.0,,1.0,1.0,16.0,30.0,59.0,25.0,2.0,,
Kep. Bangka Belitung,Kota Pangkal Pinang,2021,121.0,8.0,22.0,19.0,19.0,,6.0,73.0,118.0,75.0,5.0,,
Kep. Riau,Karimun,2021,70.0,88.0,27.0,2.0,3.0,,10.0,16.0,77.0,64.0,1.0,,
Kep. Riau,Bintan,2021,87.0,23.0,15.0,,2.0,,11.0,22.0,57.0,75.0,3.0,,
Kep. Riau,Natuna,2021,35.0,20.0,15.0,,,,5.0,22.0,37.0,158.0,2.0,,
Kep. Riau,Lingga,2021,107.0,38.0,14.0,,3.0,,14.0,12.0,35.0,29.0,1.0,,
Kep. Riau,Kepulauan Anambas,2021,29.0,13.0,25.0,1.0,,,4.0,7.0,12.0,24.0,,,
Kep. Riau,Kota Batam,2021,151.0,57.0,40.0,2.0,2.0,3.0,24.0,16.0,83.0,87.0,14.0,,
Kep. Riau,Kota Tanjung Pinang,2021,119.0,55.0,31.0,,2.0,,15.0,25.0,94.0,66.0,4.0,,
DKI Jakarta,Kep. Seribu,2021,115.0,43.0,22.0,15.0,32.0,3.0,22.0,74.0,65.0,19.0,3.0,,
DKI Jakarta,Kota Jakarta Selatan,2021,125.0,7.0,27.0,8.0,14.0,3.0,20.0,90.0,130.0,27.0,17.0,,
DKI Jakarta,Kota Jakarta Timur,2021,159.0,13.0,35.0,9.0,26.0,6.0,25.0,93.0,138.0,36.0,7.0,,
DKI Jakarta,Kota Jakarta Pusat,2021,127.0,21.0,31.0,9.0,10.0,1.0,13.0,118.0,140.0,39.0,9.0,,
